Religion,Ancient_history,1.8877052429013883
Ethics,War,1.9800315212309534
History,Domesticated_animals,2.330666798001071
Religion,Domesticated_animals,2.7252579251248608
Philosophy,Theology,2.8077607686013817
Pets,Domesticated_animals,2.985613451128364
Ethics,Ancient_history,3.2561928149224775
Pets,War,3.283609654909967
Ancient_history,War,3.767365087182761
Ancient_history,Domesticated_animals,3.8589898692379143
Pets,Ethics,3.8944059578042234
History,Ethics,3.957531939481756
History,Pets,4.484358194195421
Ethics,Domesticated_animals,4.525188571901521
Religion,Ethics,4.8231005341889235
Domesticated_animals,War,4.854705944859789
History,War,4.888586007419752
Religion,History,5.276371689615302
History,Ancient_history,5.46315799088283
Pets,Ancient_history,6.2571159752653
Religion,Pets,7.238560331282488
Religion,War,7.285513473571531
Philosophers,Ethics,7.468605215424926
Mathematics,Logic,8.655255091266834
Animals,Theology,9.339623684437058
Philosophers,War,9.62940370493822
Philosophers,Ancient_history,10.754794199731709
Religion,Mathematicians,10.895933809112925
Philosophers,History,12.479181778489094
Mathematics,Animals,12.604879847488036
Philosophers,Religion,12.768026777015534
Philosophers,Domesticated_animals,13.28950125638161
Philosophy,Mathematicians,13.407919276389142
Religion,Philosophy,14.158647938709573
War,Gods_and_goddesses,14.504157599925959
Philosophers,Pets,14.51480583095985
Animals,Logic,14.539627153201259
Pets,Gods_and_goddesses,14.618667411241248
Animals,Philosophy,15.05578482255284
Mathematicians,Ancient_history,16.031278404750083
Ethics,Gods_and_goddesses,16.778026177710988
Mathematicians,Ethics,18.741349783986177
Mathematicians,Domesticated_animals,18.980073071554656
History,Mathematicians,19.193317329186463
Philosophy,Ancient_history,19.984665234397564
Mathematicians,Theology,21.235832856670317
Religion,Theology,21.776219853757357
Philosophers,Mathematicians,22.054449442352176
History,Gods_and_goddesses,22.779471611410973
Philosophy,Domesticated_animals,23.433993999462643
Philosophers,Gods_and_goddesses,25.395538574119847
Ancient_history,Gods_and_goddesses,26.900593814453547
Mathematicians,War,27.065699073198182
Domesticated_animals,Gods_and_goddesses,27.176357655907015
Mathematics,Theology,28.198560888464577
Pets,Mathematicians,28.29617013365284
Philosophy,History,28.390602374186127
Logic,Theology,28.965049287720547
Ancient_history,Theology,30.680427512462913
Domesticated_animals,Theology,31.749198116919484
Philosophy,Ethics,31.946737306782985
Religion,Gods_and_goddesses,34.19943299907647
Philosophers,Philosophy,35.118089493690995
Philosophy,War,37.17262852217405
Philosophy,Logic,37.72996709279268
Philosophy,Pets,38.45490861762374
Mathematics,Philosophy,39.13774149361953
History,Theology,39.868822487026485
Animals,Mathematicians,40.288432019178586
Ethics,Theology,44.20293080366237
Philosophers,Theology,46.673615000913536
War,Theology,49.723156250671074
Pets,Theology,49.8895434903561
Animals,Religion,50.80706247671917
Mathematicians,Gods_and_goddesses,59.86735750939539
Animals,Ancient_history,62.05804780001913
Animals,Domesticated_animals,67.35342419169541
Animals,History,76.1738475893794
Mathematicians,Logic,78.2119940466251
Mathematics,Mathematicians,79.14100296291979
Animals,Ethics,80.647412575752
Philosophers,Animals,82.02834198779333
Philosophy,Gods_and_goddesses,86.81897216891879
Animals,War,88.37141613162828
Religion,Logic,91.72120799401925
Animals,Pets,93.28039353785576
Mathematics,Religion,95.07987806817916
Ancient_history,Logic,106.5831733674579
Gods_and_goddesses,Theology,107.20411993829799
Mathematics,Ancient_history,110.61835902242795
Domesticated_animals,Logic,111.36973441440846
Mathematics,Domesticated_animals,116.00639281909169
History,Logic,120.4235631809503
Philosophers,Logic,124.8041593160416
Mathematics,History,127.07245342079514
Mathematics,Philosophers,129.33354403991802
Ethics,Logic,131.26338983944188
Mathematics,Ethics,133.81228509855026
War,Logic,141.75155702464997
Pets,Logic,142.73724345764393
Mathematics,War,144.3918906610196
Mathematics,Pets,147.43942916273133
Animals,Gods_and_goddesses,163.87759310342847
Logic,Gods_and_goddesses,224.22623481505065
Mathematics,Gods_and_goddesses,234.62251705323592